gfid,datenum,date,ndvi
72001,0,2020-10-20,0.186
72001,1,2020-10-21,0.184
72001,2,2020-10-22,0.183
72001,3,2020-10-23,0.182
72001,4,2020-10-24,0.181
72001,5,2020-10-25,0.18
72001,6,2020-10-26,0.18
72001,7,2020-10-27,0.181
72001,8,2020-10-28,0.181
72001,9,2020-10-29,0.182
72001,10,2020-10-30,0.183
72001,11,2020-10-31,0.184
72001,12,2020-11-01,0.184
72001,13,2020-11-02,0.185
72001,14,2020-11-03,0.184
72001,15,2020-11-04,0.183
72001,16,2020-11-05,0.182
72001,17,2020-11-06,0.18
72001,18,2020-11-07,0.18
72001,19,2020-11-08,0.18
72001,20,2020-11-09,0.182
72001,21,2020-11-10,0.185
72001,22,2020-11-11,0.189
72001,23,2020-11-12,0.196
72001,24,2020-11-13,0.204
72001,25,2020-11-14,0.216
72001,26,2020-11-15,0.23
72001,27,2020-11-16,0.247
72001,28,2020-11-17,0.266
72001,29,2020-11-18,0.287
72001,30,2020-11-19,0.309
72001,31,2020-11-20,0.331
72001,32,2020-11-21,0.355
72001,33,2020-11-22,0.379
72001,34,2020-11-23,0.404
72001,35,2020-11-24,0.429
72001,36,2020-11-25,0.454
72001,37,2020-11-26,0.479
72001,38,2020-11-27,0.503
72001,39,2020-11-28,0.526
72001,40,2020-11-29,0.548
72001,41,2020-11-30,0.568
72001,42,2020-12-01,0.588
72001,43,2020-12-02,0.606
72001,44,2020-12-03,0.623
72001,45,2020-12-04,0.638
72001,46,2020-12-05,0.651
72001,47,2020-12-06,0.663
72001,48,2020-12-07,0.673
72001,49,2020-12-08,0.682
72001,50,2020-12-09,0.689
72001,51,2020-12-10,0.695
72001,52,2020-12-11,0.701
72001,53,2020-12-12,0.705
72001,54,2020-12-13,0.709
72001,55,2020-12-14,0.713
72001,56,2020-12-15,0.717
72001,57,2020-12-16,0.721
72001,58,2020-12-17,0.726
72001,59,2020-12-18,0.734
72001,60,2020-12-19,0.743
72001,61,2020-12-20,0.752
72001,62,2020-12-21,0.762
72001,63,2020-12-22,0.772
72001,64,2020-12-23,0.782
72001,65,2020-12-24,0.792
72001,66,2020-12-25,0.803
72001,67,2020-12-26,0.812
72001,68,2020-12-27,0.821
72001,69,2020-12-28,0.829
72001,70,2020-12-29,0.834
72001,71,2020-12-30,0.838
72001,72,2020-12-31,0.841
72001,73,2021-01-01,0.844
72001,74,2021-01-02,0.847
72001,75,2021-01-03,0.849
72001,76,2021-01-04,0.851
72001,77,2021-01-05,0.853
72001,78,2021-01-06,0.855
72001,79,2021-01-07,0.856
72001,80,2021-01-08,0.858
72001,81,2021-01-09,0.859
72001,82,2021-01-10,0.859
72001,83,2021-01-11,0.859
72001,84,2021-01-12,0.857
72001,85,2021-01-13,0.855
72001,86,2021-01-14,0.851
72001,87,2021-01-15,0.847
72001,88,2021-01-16,0.841
72001,89,2021-01-17,0.835
72001,90,2021-01-18,0.829
72001,91,2021-01-19,0.823
72001,92,2021-01-20,0.816
72001,93,2021-01-21,0.81
72001,94,2021-01-22,0.805
72001,95,2021-01-23,0.802
72001,96,2021-01-24,0.799
72001,97,2021-01-25,0.797
72001,98,2021-01-26,0.796
72001,99,2021-01-27,0.795
72001,100,2021-01-28,0.795
72001,101,2021-01-29,0.794
72001,102,2021-01-30,0.793
72001,103,2021-01-31,0.791
72001,104,2021-02-01,0.788
72001,105,2021-02-02,0.782
72001,106,2021-02-03,0.774
72001,107,2021-02-04,0.763
72001,108,2021-02-05,0.748
72001,109,2021-02-06,0.729
72001,110,2021-02-07,0.707
72001,111,2021-02-08,0.68
72001,112,2021-02-09,0.651
72001,113,2021-02-10,0.618
72001,114,2021-02-11,0.582
72001,115,2021-02-12,0.546
72001,116,2021-02-13,0.51
72001,117,2021-02-14,0.475
72001,118,2021-02-15,0.444
72001,119,2021-02-16,0.416
72001,120,2021-02-17,0.392
72001,121,2021-02-18,0.372
72001,122,2021-02-19,0.354
72001,123,2021-02-20,0.336
72001,124,2021-02-21,0.319
72001,125,2021-02-22,0.301
72001,126,2021-02-23,0.284
72001,127,2021-02-24,0.269
72001,128,2021-02-25,0.255
72001,129,2021-02-26,0.24
72001,130,2021-02-27,0.226
72001,131,2021-02-28,0.212
72001,132,2021-03-01,0.198
72001,133,2021-03-02,0.185
72001,134,2021-03-03,0.177
72001,135,2021-03-04,0.172
72001,136,2021-03-05,0.17
72001,137,2021-03-06,0.169
72001,138,2021-03-07,0.168
72001,139,2021-03-08,0.166
72001,140,2021-03-09,0.164
72001,141,2021-03-10,0.162
72001,142,2021-03-11,0.159
72001,143,2021-03-12,0.156
72001,144,2021-03-13,0.153
72001,145,2021-03-14,0.15
72001,146,2021-03-15,0.147
72001,147,2021-03-16,0.145
72001,148,2021-03-17,0.143
72001,149,2021-03-18,0.141
72001,150,2021-03-19,0.141
72001,151,2021-03-20,0.141
72001,152,2021-03-21,0.141
72001,153,2021-03-22,0.143
72001,154,2021-03-23,0.145
72001,155,2021-03-24,0.147
72001,156,2021-03-25,0.15
72001,157,2021-03-26,0.152
72001,158,2021-03-27,0.155
72001,159,2021-03-28,0.157
72001,160,2021-03-29,0.158
72001,161,2021-03-30,0.159
72001,162,2021-03-31,0.159
72001,163,2021-04-01,0.158
72001,164,2021-04-02,0.156
72001,165,2021-04-03,0.153
72001,166,2021-04-04,0.15
72001,167,2021-04-05,0.146
72001,168,2021-04-06,0.142
72001,169,2021-04-07,0.138
72001,170,2021-04-08,0.134
72001,171,2021-04-09,0.131
72001,172,2021-04-10,0.127
72001,173,2021-04-11,0.124
72001,174,2021-04-12,0.122
