gfid,datenum,date,ndvi
52001,0,2020-10-20,0.238
52001,1,2020-10-21,0.235
52001,2,2020-10-22,0.233
52001,3,2020-10-23,0.231
52001,4,2020-10-24,0.228
52001,5,2020-10-25,0.226
52001,6,2020-10-26,0.224
52001,7,2020-10-27,0.222
52001,8,2020-10-28,0.219
52001,9,2020-10-29,0.217
52001,10,2020-10-30,0.215
52001,11,2020-10-31,0.213
52001,12,2020-11-01,0.211
52001,13,2020-11-02,0.209
52001,14,2020-11-03,0.207
52001,15,2020-11-04,0.205
52001,16,2020-11-05,0.203
52001,17,2020-11-06,0.201
52001,18,2020-11-07,0.199
52001,19,2020-11-08,0.197
52001,20,2020-11-09,0.195
52001,21,2020-11-10,0.193
52001,22,2020-11-11,0.19
52001,23,2020-11-12,0.188
52001,24,2020-11-13,0.186
52001,25,2020-11-14,0.184
52001,26,2020-11-15,0.182
52001,27,2020-11-16,0.18
52001,28,2020-11-17,0.179
52001,29,2020-11-18,0.179
52001,30,2020-11-19,0.18
52001,31,2020-11-20,0.181
52001,32,2020-11-21,0.184
52001,33,2020-11-22,0.188
52001,34,2020-11-23,0.194
52001,35,2020-11-24,0.202
52001,36,2020-11-25,0.212
52001,37,2020-11-26,0.224
52001,38,2020-11-27,0.238
52001,39,2020-11-28,0.255
52001,40,2020-11-29,0.274
52001,41,2020-11-30,0.296
52001,42,2020-12-01,0.32
52001,43,2020-12-02,0.346
52001,44,2020-12-03,0.373
52001,45,2020-12-04,0.401
52001,46,2020-12-05,0.429
52001,47,2020-12-06,0.456
52001,48,2020-12-07,0.483
52001,49,2020-12-08,0.508
52001,50,2020-12-09,0.532
52001,51,2020-12-10,0.554
52001,52,2020-12-11,0.573
52001,53,2020-12-12,0.59
52001,54,2020-12-13,0.606
52001,55,2020-12-14,0.618
52001,56,2020-12-15,0.629
52001,57,2020-12-16,0.638
52001,58,2020-12-17,0.645
52001,59,2020-12-18,0.651
52001,60,2020-12-19,0.655
52001,61,2020-12-20,0.657
52001,62,2020-12-21,0.657
52001,63,2020-12-22,0.655
52001,64,2020-12-23,0.652
52001,65,2020-12-24,0.647
52001,66,2020-12-25,0.641
52001,67,2020-12-26,0.635
52001,68,2020-12-27,0.628
52001,69,2020-12-28,0.621
52001,70,2020-12-29,0.613
52001,71,2020-12-30,0.607
52001,72,2020-12-31,0.601
52001,73,2021-01-01,0.596
52001,74,2021-01-02,0.593
52001,75,2021-01-03,0.59
52001,76,2021-01-04,0.589
52001,77,2021-01-05,0.59
52001,78,2021-01-06,0.592
52001,79,2021-01-07,0.596
52001,80,2021-01-08,0.601
52001,81,2021-01-09,0.608
52001,82,2021-01-10,0.615
52001,83,2021-01-11,0.624
52001,84,2021-01-12,0.633
52001,85,2021-01-13,0.644
52001,86,2021-01-14,0.654
52001,87,2021-01-15,0.666
52001,88,2021-01-16,0.677
52001,89,2021-01-17,0.689
52001,90,2021-01-18,0.7
52001,91,2021-01-19,0.711
52001,92,2021-01-20,0.722
52001,93,2021-01-21,0.732
52001,94,2021-01-22,0.742
52001,95,2021-01-23,0.75
52001,96,2021-01-24,0.758
52001,97,2021-01-25,0.765
52001,98,2021-01-26,0.77
