gfid,state,district,village,lon,lat,wheat
52001,Haryana ,Kaithal ,Sirghar,76.420677,29.782459,1
52002,Haryana ,Kaithal ,Sanch,76.676689,29.7409,0
52003,Haryana ,Kaithal ,Gyong,76.44001,29.808571,1
52004,Haryana ,Kaithal ,Gyong,76.440529,29.80797,1
52005,Haryana ,Kaithal ,Gyong,76.439789,29.80794,1
52006,Haryana ,Kaithal ,Rasina,76.677437,29.741949,1
52007,Haryana ,Kaithal ,Gyong,76.440239,29.809031,1
52008,Haryana ,Kaithal ,Gyong,76.440712,29.80864,1
52009,Haryana ,Kaithal ,Gyong,76.44445,29.810011,0
52010,Haryana ,Kaithal ,Rasina,76.678978,29.74156,0
52011,Haryana ,Kaithal ,Rasina,76.679527,29.74214,0
52012,Haryana ,Kaithal ,Gyong,76.452766,29.81073,0
52013,Haryana ,Kaithal ,Ahmedpur,76.6576,29.755239,1
52014,Haryana ,Kaithal ,Ahmedpur,76.660637,29.755871,0
52015,Haryana ,Kaithal ,Ahmedpur,76.660957,29.755159,0
52016,Haryana ,Kaithal ,Shargar,76.428322,29.78104,0
52017,Haryana ,Kaithal ,Sherghr,76.42897,29.78174,1
52018,Haryana ,Kaithal ,Devighar,76.41713,29.781549,1
52019,Haryana ,Kaithal ,Devighar,76.415833,29.77985,0
52020,Haryana ,Kaithal ,Devighar,76.415833,29.779619,0
52021,Haryana ,Kaithal ,Devighar,76.416298,29.779449,0
52022,Haryana ,Kaithal ,Devighar,76.416672,29.7794,0
52023,Haryana ,Kaithal ,Gyong,76.416328,29.77928,0
52024,Haryana ,Kaithal ,Buchi,76.654259,29.739861,1
52025,Haryana ,Kaithal ,Buchi,76.653168,29.741859,1
52026,Haryana ,Kaithal ,Buchi,76.652512,29.743401,0
52027,Haryana ,Kaithal ,Munahrehri,76.64595,29.747271,0
52028,Haryana ,Kaithal ,Munahrehri,76.645012,29.74733,1
52029,Haryana ,Kaithal ,Habri,76.631866,29.732201,1
52030,Haryana ,Kaithal ,Polad,76.356277,29.92746,1
52031,Haryana ,Kaithal ,Polad,76.357613,29.927361,0
52032,Haryana ,Kaithal ,Sikander Kheri,76.616249,29.72049,1
52033,Haryana ,Kaithal ,Kainthali,76.358131,29.95031,1
52034,Haryana ,Kaithal ,Kainthali,76.358139,29.950939,1
52035,Haryana ,Kaithal ,Katharine,76.358124,29.950689,1
52036,Haryana ,Kaithal ,Bhuna,76.348038,29.96413,0
52037,Haryana ,Kaithal ,Bhuba,76.348679,29.96456,1
52038,Haryana ,Kaithal ,Bhuna,76.348503,29.96405,1
52039,Haryana ,Kaithal ,Bhyani Majra,76.440887,29.79278,1
52040,Haryana ,Kaithal ,Venimajra,76.439598,29.793791,1
52041,Haryana ,Kaithal ,Bhanimajra,76.441612,29.792761,1
52042,Haryana ,Kaithal ,Bhynimajra,76.441437,29.7922,1
52043,Haryana ,Kaithal ,Bedhimajra,76.440887,29.79225,1
52044,Haryana ,Kaithal ,Mukeriye,76.335381,29.97879,1
52045,Haryana ,Kaithal ,Munakiye,76.335457,29.97987,1
52046,Haryana ,Kaithal ,Munakiye,76.334717,29.978769,1
52047,Haryana ,Kaithal ,Munakiye,76.335442,29.97934,1
52048,Haryana ,Kaithal ,Bhaynimajra,76.441772,29.792061,0
52049,Haryana ,Kaithal ,Mukarya,76.335388,29.97818,0
52050,Haryana ,Kaithal ,Bhanimajara,76.440117,29.79108,0
52051,Haryana ,Kaithal ,Mukarya,76.33474,29.978189,0
52052,Haryana ,Kaithal ,Bhanimajara,76.443024,29.79166,0
52053,Haryana ,Kaithal ,Balbedha,76.345078,29.99604,1
52054,Haryana ,Kaithal ,Balbedha,76.344513,29.99659,1
52055,Haryana ,Kaithal ,Balbida,76.34549,29.996031,0
52056,Haryana ,Kaithal ,Balbedha,76.34465,29.99559,1
52057,Haryana ,Kaithal ,Balbedha,76.34481,29.99659,0
52058,Haryana ,Kaithal ,Narar,76.461082,29.78989,1
52059,Haryana ,Kaithal ,Narar,76.463623,29.78759,0
52060,Haryana ,Kaithal ,Pidal,76.351212,29.998711,1
52061,Haryana ,Kaithal ,Pidel,76.351479,29.99802,0
52062,Haryana ,Kaithal ,Narar,76.461182,29.78908,0
52063,Haryana ,Kaithal ,Pidel,76.35202,29.99823,0
52064,Haryana ,Kaithal ,Narar,76.461731,29.79051,1
52065,Haryana ,Kaithal ,Naurpalt,76.374512,30.00622,0
52066,Haryana ,Kaithal ,Naurpalat,76.374657,30.00679,1
52067,Haryana ,Kaithal ,Naurpalat,76.374672,30.007339,1
52068,Haryana ,Kaithal ,Naurpalt,76.375229,30.00737,0
52069,Haryana ,Kaithal ,Naurpalat,76.375359,30.00621,1
52070,Haryana ,Kaithal ,Narar,76.460876,29.792219,0
52071,Haryana ,Kaithal ,Theanaudh,76.371239,30.00028,0
52072,Haryana ,Kaithal ,Theanaudh,76.370659,30.00079,1
52073,Haryana ,Kaithal ,Theanaudh,76.370522,30.00025,0
52074,Haryana ,Kaithal ,Siga,76.461823,29.792191,1
52075,Haryana ,Kaithal ,Siga,76.46244,29.79261,0
52076,Haryana ,Kaithal ,Neudh,76.366211,29.98889,1
52077,Haryana ,Kaithal ,Neadh,76.3666,29.98823,0
52078,Haryana ,Kaithal ,Kakedhi Palat,76.3675,29.9834,1
52079,Haryana ,Kaithal ,Kakedhibpalat,76.367493,29.983931,0
52080,Haryana ,Kaithal ,Siga,76.46312,29.793711,0
52081,Haryana ,Kaithal ,Kakedhi Palat,76.366699,29.983931,1
52082,Haryana ,Kaithal ,Kakedhi Palat,76.366768,29.98451,1
52083,Haryana ,Kaithal ,Siga,76.46312,29.79319,0
52084,Haryana ,Kaithal ,Kakedhibpalat,76.367409,29.98304,0
