gfid,datenum,date,ndvi
54001,0,2020-10-20,0.737
54001,1,2020-10-21,0.727
54001,2,2020-10-22,0.714
54001,3,2020-10-23,0.697
54001,4,2020-10-24,0.676
54001,5,2020-10-25,0.65
54001,6,2020-10-26,0.619
54001,7,2020-10-27,0.584
54001,8,2020-10-28,0.543
54001,9,2020-10-29,0.498
54001,10,2020-10-30,0.451
54001,11,2020-10-31,0.405
54001,12,2020-11-01,0.362
54001,13,2020-11-02,0.323
54001,14,2020-11-03,0.289
54001,15,2020-11-04,0.258
54001,16,2020-11-05,0.231
54001,17,2020-11-06,0.208
54001,18,2020-11-07,0.19
54001,19,2020-11-08,0.177
54001,20,2020-11-09,0.171
54001,21,2020-11-10,0.169
54001,22,2020-11-11,0.168
54001,23,2020-11-12,0.168
54001,24,2020-11-13,0.167
54001,25,2020-11-14,0.167
54001,26,2020-11-15,0.167
54001,27,2020-11-16,0.166
54001,28,2020-11-17,0.166
54001,29,2020-11-18,0.166
54001,30,2020-11-19,0.167
54001,31,2020-11-20,0.169
54001,32,2020-11-21,0.17
54001,33,2020-11-22,0.173
54001,34,2020-11-23,0.176
54001,35,2020-11-24,0.181
54001,36,2020-11-25,0.186
54001,37,2020-11-26,0.192
54001,38,2020-11-27,0.2
54001,39,2020-11-28,0.211
54001,40,2020-11-29,0.225
54001,41,2020-11-30,0.241
54001,42,2020-12-01,0.261
54001,43,2020-12-02,0.283
54001,44,2020-12-03,0.308
54001,45,2020-12-04,0.335
54001,46,2020-12-05,0.363
54001,47,2020-12-06,0.392
54001,48,2020-12-07,0.422
54001,49,2020-12-08,0.451
54001,50,2020-12-09,0.479
54001,51,2020-12-10,0.506
54001,52,2020-12-11,0.531
54001,53,2020-12-12,0.554
54001,54,2020-12-13,0.574
54001,55,2020-12-14,0.592
54001,56,2020-12-15,0.607
54001,57,2020-12-16,0.621
54001,58,2020-12-17,0.632
54001,59,2020-12-18,0.642
54001,60,2020-12-19,0.651
54001,61,2020-12-20,0.657
54001,62,2020-12-21,0.663
54001,63,2020-12-22,0.667
54001,64,2020-12-23,0.671
54001,65,2020-12-24,0.674
54001,66,2020-12-25,0.677
54001,67,2020-12-26,0.68
54001,68,2020-12-27,0.684
54001,69,2020-12-28,0.687
54001,70,2020-12-29,0.691
54001,71,2020-12-30,0.695
54001,72,2020-12-31,0.699
54001,73,2021-01-01,0.702
54001,74,2021-01-02,0.705
54001,75,2021-01-03,0.708
54001,76,2021-01-04,0.71
54001,77,2021-01-05,0.712
54001,78,2021-01-06,0.713
54001,79,2021-01-07,0.713
54001,80,2021-01-08,0.713
54001,81,2021-01-09,0.713
54001,82,2021-01-10,0.713
54001,83,2021-01-11,0.713
54001,84,2021-01-12,0.712
54001,85,2021-01-13,0.712
54001,86,2021-01-14,0.712
54001,87,2021-01-15,0.712
54001,88,2021-01-16,0.712
54001,89,2021-01-17,0.712
54001,90,2021-01-18,0.713
54001,91,2021-01-19,0.715
54001,92,2021-01-20,0.717
54001,93,2021-01-21,0.72
54001,94,2021-01-22,0.724
54001,95,2021-01-23,0.729
54001,96,2021-01-24,0.734
