gfid,state,district,village,lon,lat,wheat
54001,Haryana ,Karnal ,Kabulpur Khera,76.707176,29.55072,1
54002,Haryana ,Karnal ,Kutel,76.983879,29.61302,1
54003,Haryana ,Karnal ,Kutal,76.984901,29.613729,0
54004,Haryana ,Karnal ,Kutel,76.985031,29.61278,0
54005,Haryana ,Karnal ,Kutal,76.985283,29.613729,0
54006,Haryana ,Karnal ,Kutal,76.985733,29.61278,1
54007,Haryana ,Karnal ,Kutel,76.986488,29.612711,1
54008,Haryana ,Karnal ,Kharkali,76.979988,29.598009,1
54009,Haryana ,Karnal ,Kharkali,76.979187,29.59701,1
54010,Haryana ,Karnal ,Kharkali,76.978638,29.59753,1
54011,Haryana ,Karnal ,Kharkoli,76.980057,29.598551,0
54012,Haryana ,Karnal ,Kharkali,76.973793,29.60364,0
54013,Haryana ,Karnal ,Kharkali,76.980782,29.603809,0
54014,Haryana ,Karnal ,Dha Jager,76.973686,29.632389,1
54015,Haryana ,Karnal ,Dahajagir,76.973732,29.63199,1
54016,Haryana ,Karnal ,Daha Jagier,76.973038,29.63236,1
54017,Haryana ,Karnal ,Daha Jagier,76.972427,29.63142,1
54018,Haryana ,Karnal ,Madanpur,76.981117,29.65239,1
54019,Haryana ,Karnal ,Madanpur,76.975143,29.65904,1
54020,Haryana ,Karnal ,Madanpur,76.971977,29.65303,0
54021,Haryana ,Karnal ,Shamgarh,76.949722,29.766581,1
54022,Haryana ,Karnal ,Shamgarh,76.94883,29.76716,0
54023,Haryana ,Karnal ,Shamgarh,76.948143,29.767151,0
54024,Haryana ,Karnal ,Shamgarh,76.948143,29.767719,0
54025,Haryana ,Karnal ,Shamgarh,76.948738,29.76646,0
54026,Haryana ,Karnal ,Shamgarh,76.947388,29.76436,1
54027,Haryana ,Karnal ,Kabulpur Khera,76.707153,29.551821,1
54028,Haryana ,Karnal ,Shamgarh,76.947601,29.76379,1
54029,Haryana ,Karnal ,Dinger Majra,76.991096,29.516319,1
54030,Haryana ,Karnal ,Kabulpur Khera,76.707932,29.552361,1
54031,Haryana ,Karnal ,Bhaini Khurd,76.937134,29.76889,0
54032,Haryana ,Karnal ,Bhaini Khurd,76.932892,29.76894,1
54033,Haryana ,Karnal ,Dinger Majra,76.991051,29.515209,1
54034,Haryana ,Karnal ,Dinger Majra,76.991051,29.51561,1
54035,Haryana ,Karnal ,Dinger Majra,76.991089,29.51466,1
54036,Haryana ,Karnal ,Dinger Majra,76.990402,29.514151,0
54037,Haryana ,Karnal ,Bhaini Khurd,76.936028,29.752581,0
54038,Haryana ,Karnal ,Dinger Majra,76.993088,29.5147,0
54039,Haryana ,Karnal ,Kabulpur Khera,76.71241,29.547979,1
54040,Haryana ,Karnal ,Dinger Majra,76.99366,29.51461,0
54041,Haryana ,Karnal ,Kabulpur Khera,76.711632,29.547421,0
54042,Haryana ,Karnal ,Kabulpur Khera,76.712067,29.547371,0
54043,Haryana ,Karnal ,Kabulpur Khera,76.7117,29.54693,0
54044,Haryana ,Karnal ,Kabulpur Khera,76.717056,29.547079,0
54045,Haryana ,Karnal ,Kurlan,76.72715,29.54977,0
54046,Haryana ,Karnal ,Kurlan,76.728889,29.54944,0
54047,Haryana ,Karnal ,Kurlan,76.737328,29.56028,1
54048,Haryana ,Karnal ,Kurlan,76.735031,29.561199,1
54049,Haryana ,Karnal ,Panori,77.010147,29.53837,1
54050,Haryana ,Karnal ,Panori,77.010872,29.53838,1
54051,Haryana ,Karnal ,Panori,77.012283,29.53837,1
54052,Haryana ,Karnal ,Panori,77.012283,29.537781,1
54053,Haryana ,Karnal ,Panori,77.011559,29.538389,0
54054,Haryana ,Karnal ,Panori,77.001068,29.53306,0
54055,Haryana ,Karnal ,Panori,77.001999,29.538349,0
54056,Haryana ,Karnal ,Gadhi Multan,76.987732,29.51614,0
54057,Haryana ,Karnal ,Gadhi Multan,76.991096,29.514139,0
54058,Haryana ,Karnal ,Gadhi Multan,76.988869,29.513559,1
54059,Haryana ,Karnal ,Gadhi Multan,76.988892,29.51413,1
54060,Haryana ,Karnal ,Gadhi Multan,76.989677,29.51412,1
54061,Haryana ,Karnal ,Gadhi Multan,76.989632,29.51358,1
54062,Haryana ,Karnal ,Gadhi Multan,76.989662,29.513,1
54063,Haryana ,Karnal ,Jalmana,76.716637,29.593719,1
54064,Haryana ,Karnal ,Nilokheri,76.932243,29.849871,1
54065,Haryana ,Karnal ,Jalmana,76.717621,29.58766,1
54066,Haryana ,Karnal ,Nilokheri,76.91243,29.824921,0
54067,Haryana ,Karnal ,Jalmana,76.717262,29.585541,0
54068,Haryana ,Karnal ,Jalmana,76.715843,29.579439,0
54069,Haryana ,Karnal ,Tarori,76.912201,29.820021,1
54070,Haryana ,Karnal ,Thrwa,76.724869,29.57947,0
54071,Haryana ,Karnal ,Thrwa,76.734711,29.57926,1
54072,Haryana ,Karnal ,Pakhana,76.896118,29.80582,0
54073,Haryana ,Karnal ,Thrwa,76.731339,29.580811,1
54074,Haryana ,Karnal ,Thrwa,76.732552,29.58144,1
54075,Haryana ,Karnal ,Thrwa,76.733383,29.58304,1
54076,Haryana ,Karnal ,Alawla,76.734009,29.5842,0
54077,Haryana ,Karnal ,Pakhana,76.896507,29.78738,1
54078,Haryana ,Karnal ,Alawla,76.734688,29.58567,1
54079,Haryana ,Karnal ,Pakhana,76.8965,29.787769,0
54080,Haryana ,Karnal ,Alawla,76.735229,29.58847,1
54081,Haryana ,Karnal ,Ramba,76.983368,29.798679,1
54082,Haryana ,Karnal ,Klhede,77.009033,29.517771,0
54083,Haryana ,Karnal ,Klhede,77.009773,29.517191,1
54084,Haryana ,Karnal ,Klhede,77.009697,29.51651,1
54085,Haryana ,Karnal ,Kheri Maan Singh,76.993111,29.81551,1
54086,Haryana ,Karnal ,Kheri Maan Singh,76.998253,29.831881,1
54087,Haryana ,Karnal ,Klhede,77.009071,29.51664,1
54088,Haryana ,Karnal ,Samoura,77.005859,29.81501,1
54089,Haryana ,Karnal ,Samoura,77.006439,29.80937,1
54090,Haryana ,Karnal ,Samoura,77.00647,29.808281,1
54091,Haryana ,Karnal ,Chopri,76.930992,29.770571,1
54092,Haryana ,Karnal ,Chopri,76.928482,29.771231,1
54093,Haryana ,Karnal ,Chopri,76.924019,29.771271,1
54094,Haryana ,Karnal ,Fafdana,76.689301,29.5362,0
54095,Haryana ,Karnal ,Fafdana,76.687714,29.53508,1
54096,Haryana ,Karnal ,Fafdana,76.685112,29.534451,0
54097,Haryana ,Karnal ,Lalani,76.933479,29.782391,1
54098,Haryana ,Karnal ,Fafdana,76.67865,29.53157,0
54099,Haryana ,Karnal ,Kaimla,77.005203,29.493771,0
54100,Haryana ,Karnal ,Lalani,76.932549,29.781981,0
54101,Haryana ,Karnal ,Lalani,76.933479,29.78348,1
54102,Haryana ,Karnal ,Lalani,76.930397,29.782631,1
54103,Haryana ,Karnal ,Lalani,76.922699,29.783779,1
